filename	ATTRIBUTE_origin	ATTRIBUTE_leaf.resin	ATTRIBUTE_pollination	ATTRIBUTE_traditional.use	ATTRIBUTE_antibacterial.activity	ATTRIBUTE_leaf.hairiness	ATTRIBUTE_phylo.clade	ATTRIBUTE_phylo.clade.general	ATTRIBUTE_biogeography	ATTRIBUTE_sample.weight.mg
218_RMF45_6ul_BC2_01_22418.mzML	Myoporum_acuminatum_RMF45	0	0	1	1	0	a	ag	0	16.7
219_RMF46_6ul_BC3_01_22419.mzML	Myoporum_boninense_complete_RMF46	1	0	0	NA	0	a	ag	0	11.9
221_TMS14.08_6ul_BC5_01_22423.mzML	Eremophila_maculata_maculata_TMS1408	0	1	1	NA	0	h8	h	0	14.6
222_TMS14.13_6ul_BC6_01_22424.mzML	Eremophila_scoparia_TMS1413	0	0	0	0	0	h3	h3	1	11.1
227_TMS14.11_6ul_BD3_01_22429.mzML	Eremophila_crassifolia_TMS1411	0	0	0	NA	0	c	ag	3	13.4
228_RMF210_6ul_BD4_01_22430.mzML	Diocirea_violacea_RMF210	1	0	0	NA	1	h3	h3	1	14.5
229_RMF211_6ul_BD5_01_22431.mzML	Eremophila_compressa_RMF211	1	0	0	NA	1	0	h	2	10.8
230_RMF220_6ul_BD6_01_22432.mzML	Calamphoreus_inflatus_RMF220	1	0	0	NA	0	h13	h	1	15.8
231_RMF213_6ul_BD7_01_22433.mzML	Eremophila_calorhabdos_RMF213	1	1	0	1	1	h14	h14	1	10.7
232_RMF214_6ul_BD8_01_22434.mzML	Glycocystis_beckeri_RMF214	1	0	0	NA	0	f	ag	2	15.5
233_RMF215_6ul_BE1_01_22435.mzML	Eremophila_glabra_albicans_RMF215	1	1	0	NA	1	h14	h14	1	10.6
235_RMF217_6ul_BE3_01_22437.mzML	Eremophila_densifolia_pubiflora_RMF217	1	0	0	NA	1	h3	h3	2	12.5
236_RMF218_6ul_BE4_01_22438.mzML	Eremophila_chamaephila_RMF218	0	0	0	NA	0	h3	h3	2	16.3
238_RMF227_6ul_BE6_01_22440.mzML	Eremophila_divaricata_divaricata_RMF227	0	0	0	0	1	h3	h3	1	6.5
239_RMF261_6ul_BE7_01_22441.mzML	Eremophila_serrulata_RMF261	1	1	0	1	1	h14	h14	1	7.4
242_RMF260_6ul_GA2_01_22446.mzML	Myoporum_brevipes_RMF260	0	0	0	NA	0	a	ag	1	7.5
249_RMF247_6ul_GB1_01_22453.mzML	Eremophila_alternifolia_RMF247	0	1	1	1	0	g	ag	1	10.3
250_RMF248_6ul_GB2_01_22454.mzML	Eremophila_freelingii_RMF248	1	0	1	1	1	h11	h11	1	9.4
251_RMF236_6ul_GB3_01_22455.mzML	Eremophila_bignoniiflora_RMF236	0	1	1	0	0	d	ag	0	16.2
